sampleID	mouse	group_ID	day	diet	day_of_diet	prop.B_theta	prop.B_intestihominis	prop.R_intestinalis	prop.C_aerofaciens	prop.B_caccae	prop.B_formatexigens	prop.D_piger	prop.B_ovatus	prop.F_prausnitzii	prop.A_muciniphila	prop.B_uniformis	prop.C_symbiosum	prop.E_coli	prop.E_rectale
27NOV_20_pl2	20	1_pre_FF	49	1_pre_FF	pre	0.488041863505115	0.555566786367063	0.467144312537372	0.359386928775682	0.761851592806691	0.319502864116208	0.663081717105986	0.188273963421424	0	0.400459460858289	0.851814189940528	0.397467285123451	0.502986677692167	0.0421371024328567
23NOV_20_pl2	20	1_pre_FF	45	1_pre_FF	pre	0.0234502166474156	0.0201012836289051	0.0657167667905173	1	0.113863368684888	0.18736938767955	0.0600033135917453	0.00178757749034177	0.0378438541745681	1	0.0660832856532635	0.07728718499674	0.136610702663963	0.00319356544887662
04NOV_20_pl1	20	1_pre_FF	26	1_pre_FF	FF	0.626418076942019	0.471258439198477	0.811236530445525	0.222898660529406	0.858737356149943	0.247700364884006	0.581826223840508	0.159495956722718	0	0.377220699079695	0.829945649080294	0.471834430502493	0.382297924039377	0.0169356899120439
28NOV_20_pl2	20	1_pre_FF	50	1_pre_FF	FF	0.544243734083833	0.408143144193858	0.674908721652848	0.139420483495791	0.770055248644735	0.473598465965945	0.73465268951552	0.228189740894687	0.00419887537672954	0.352498947181037	0.857992371264041	0.526247521564941	0.470698707961189	0.0467721546286932
31OCT_20_pl1	20	1_pre_FF	22	1_pre_FF	FF	0.705097737237258	0.896949213811774	0.699340044916242	0.255762613335647	0.857869289305239	0.335657755325718	0.77893256669261	0.142048828791874	0	0.345425140539063	0.717151424429576	0.31920284895039	0.542867143071433	0.0100203587093286
20NOV_20_pl2	20	1_pre_FF	42	1_pre_FF	FF	0.552818528872782	0.10586798660527	0	0.240318832747906	0.850636334328459	0.165890738928825	0.805603024504866	0.134331653297297	0	0.395480307315372	0.868865074641316	1	0.496516551170084	0.147380294165844
29NOV_20_pl2	20	1_pre_FF	51	1_pre_FF	pre	0.570016798338518	0.614797581284929	0.350105521223515	0.348424569966998	0.706147586760086	0.277552059031567	0.770950615598502	0.22190427506853	0	0.416559734852525	0.833621523550882	0.33780765858705	0.416763747022486	0.0265132569053982
01NOV_20_pl1	20	1_pre_FF	23	1_pre_FF	pre	0.670275866905302	0.639133581854672	0.72564765312586	0.205260014241532	0.816549748028557	0.322524864373469	0.725716536716096	0.13959699025565	0	0.376923531323462	0.714382697525638	0.344545897021766	0.563044434205911	0.0163656664724387
21NOV_20_pl2	20	1_pre_FF	43	1_pre_FF	pre	0.303819142468256	0.207580934749498	0.809115997822893	0.952605699662309	0.896847616529254	0.494587425812907	1	0.197486521880037	0	0.310777650680323	0.75009014533895	0.465546861093971	0.604811531572261	0.0140092071632593
30NOV_20_pl2	20	1_pre_FF	52	1_pre_FF	FF	0.498325158906794	0.329380448176228	0.859135115398486	0.591375608517407	0.896787803735602	0.39038847001258	0.699033534452215	0.165665053275395	0	0.314530386281407	0.883749691300473	0.416231272480191	0.462930712731227	0.054794230039527
02NOV_20_pl1	20	1_pre_FF	24	1_pre_FF	FF	0.758179582829587	0.346164171557171	0.00257952582548542	0.0835328652395285	0.814300276729835	0.345122403192879	0.656397982707126	0.237629865609443	0	0.443097835125745	0.715779276480208	0.178637953602229	0.451583892825577	0.0836820841275031
22NOV_20_pl2	20	1_pre_FF	44	1_pre_FF	FF	0.40871939096645	0.360669862979798	0.0707563872823065	0.465327166145469	0.724661891428774	0.35691639113512	0.845913482800945	0.28354795178772	0	0.431891538715347	0.638916443421419	0.639178931752821	0.712739646067647	0.0057041677840068
01DEC_20_pl2	20	1_pre_FF	53	1_pre_FF	pre	0.445934326847688	0.435340621158377	0.321987715093103	0.246125766574756	0.666807971252404	0.390038705551645	0.842193107557928	0.217806713198906	0	0.450263638142079	0.732191476095436	0.480080583442035	0.510326970926984	0.0420435155524113
03NOV_20_pl1	20	1_pre_FF	25	1_pre_FF	pre	0.604701992722647	0.184465174117117	0.00168497729579483	0.351150068571904	0.873586915702019	0.304461782246731	0.780387058491517	0.270346178870497	0.00840205508495753	0.429806834784235	0.591100332954575	0.711484231502228	0.361805265234742	0.109990899274457
30OCT_20_pl1	20	1_pre_FF	21	1_pre_FF	pre	0.615355059031326	0.481818011637396	0.719010127021557	0.421863457148786	0.730307675759814	0.304990941377692	0.719467591462724	0.139301543693877	0	0.416832801641132	0.663281270546143	0.168539017676807	0.605126164748115	0.0291472044424184
02DEC_20_pl1	20	1_pre_FF	54	1_pre_FF	FF	0.501282693692041	0.493620229720529	0.461118509049077	0.222781998831093	0.769422809263804	0.261405369417655	0.816912441794648	0.243000200846064	0	0.380489357014026	0.810246022591916	0.433691341488476	0.668880598706325	0.0469751898026672
15OCT_21_pl1	21	4_pre_FF	6	4_pre_FF	FR	0.77597190139667	0.330789408724027	0	0.192707354313622	0.180919950067711	0.534038237422139	0.157661746422765	0.70105734934293	0	0.371035534738863	0.219095083460584	0.13087190850072	0.538100046675772	1
24NOV_21_pl2	21	4_pre_FF	46	4_pre_FF	FF	0.427120015400873	0.471314162718501	0.142131206922279	0.797489671717898	0.569423590742787	0.145520959665444	0.347384376920019	0.0715180452515446	0.623738610149442	0.855952776943916	0.384482585654189	0.21039656646069	0.574746205141117	0.00527979912904443
20NOV_21_pl2	21	4_pre_FF	42	4_pre_FF	pre	0.489981037924849	0.461627090285877	0.000645337961754671	0.175183737795188	0.42400010175254	0.171116876689744	0.657989627757289	0.152962420392554	0.00147463865098568	0.64456405543005	0.851516717904074	0.554344899896567	0.787252884173517	0.0885101519310622
17OCT_21_pl1	21	4_pre_FF	8	4_pre_FF	FR	0.773610828429103	0.342011125374412	0.000977971035259387	0.13605873771163	0.159447555322158	1	0.284487734487734	1	0.00446945313496438	0.410699254353069	0.206861637090645	0.10678938547791	0.723534346790162	0.000898204251294852
25NOV_21_pl2	21	4_pre_FF	47	4_pre_FF	pre	0.44941428269416	0.393460054083857	0.958876782424173	0.397005726113271	0.532423758845304	0.170102482199271	0.395496134651139	0.173499479316125	0.539699095018405	0.58678219665693	0.7442875161552	0.445769529399468	0.583556843770378	0.037828635855294
21NOV_21_pl2	21	4_pre_FF	43	4_pre_FF	FF	0.112184256275811	0.216624799403115	0.424192593536967	1	0.47411701248601	0.239912003598657	0.125238670848397	0.0433928685995159	0.909015453425885	1	0.244681008099681	0.498902662713373	0.538592719117787	0.00124272389823378
22OCT_21_pl1	21	4_pre_FF	13	4_pre_FF	FR	1	0.263097213374447	0.952043289073973	0.162722807486535	0.125693955584789	0.697945316393758	0.291879882184911	0.562086244834179	0.833358477640012	0.356259345276071	0.384019893262308	0.187014768449766	0.438625914569464	0.416376792374688
26NOV_21_pl2	21	4_pre_FF	48	4_pre_FF	pre	0.467287327548836	0.388838818906123	1	0.392243944372033	0.601280697108659	0.227768069822758	0.316091545100109	0.118162532931406	0.431994944065814	0.623883227748102	0.732712274874381	0.415185961542488	0.439133644815411	0.0181231891300692
22NOV_21_pl2	21	4_pre_FF	44	4_pre_FF	FF	0.33864622875493	1	0.188240581386392	0.583121687388254	0.540192882666033	0.116329686910452	0.758415654897487	0.0431132892945026	0.68977695176959	0.681099855971797	0.80354027094032	0.557183853025521	0.353716277466258	0.0103836043463673
24OCT_21_pl1	21	4_pre_FF	15	4_pre_FF	pre	0.587148381905831	0.574303638588865	0.437161508071819	0.149746886174538	0.287268475796443	0.547904128482254	0.19247647624391	0.462224261628234	0.124209870809174	0.694129509137975	0.3620586579583	0.0596906820380184	0.465067503344978	0.280503539256465
27NOV_21_pl2	21	4_pre_FF	49	4_pre_FF	pre	0.509243375281714	0.508122398735999	0.776411101225164	0.303958553943497	0.52776059867829	0.234754840634366	0.463748556185947	0.138841426857316	0.666054079587672	0.613895130429589	0.810066175870998	0.399045204347278	0.397039631988989	0.0154644779253511
23NOV_21_pl2	21	4_pre_FF	45	4_pre_FF	FF	0.237599242720783	0.64846163652454	0.218433012266624	0.555899299299188	0.476583515187377	0.138585674713703	0.399361460799719	0.0461514897948754	1	0.836224482468624	0.728729165905448	0.422926981417988	0.502499223140575	0.0112614777964837
02DEC_21_pl1	21	4_pre_FF	54	4_pre_FF	FF	0.355501968648759	0.554784982739102	0.0895080544312527	0.213678567698569	0.609251741326685	0.0477337778058445	0.548288666654109	0.108454891476698	0.649688763271588	0.710270545649925	0.607893101305159	0.453811747758706	1	0.00354620416802396
26OCT_21_pl1	21	4_pre_FF	17	4_pre_FF	pre	0.526286386203484	0.717140182801825	0.445325714968961	0.304732335099347	0.548850168545354	0.171218561052301	0.252279621846421	0.338040665483082	0.518664823576246	0.648870369310257	0.51875431470993	0.29993550226293	0.544216362478993	0.0725102929621939
31OCT_21_pl1	21	4_pre_FF	22	4_pre_FF	FF	0.325009973584569	0.289380450056878	0.144921721690075	0.264531060900596	0.578571590811405	0.0932164612671424	0.296612340779867	0.0308194559801219	0.491023573104277	0.947686765634384	0.563122921718055	0.265563988691048	0.679258523628739	0
28OCT_21_pl1	21	4_pre_FF	19	4_pre_FF	FF	0.460155253515802	0.709916047512282	0.316574820133011	0.211263132045891	0.567353280268761	0.0867787014836186	0.36898136680153	0.11253340257623	0.638997836489322	0.811104751850059	0.43595244533323	0.379291454960371	0.744224411772188	0.0234218383784516
