sampleID	plate	sampleID2	mouse	group_ID	group_sort	day	diet	day_of_diet
04NOV_20_pl1	1	04NOV20_pl1	20	1_pre_FF	6	26	1_pre_FF	FF
04NOV_21_pl1	1	04NOV21_pl1	21	4_pre_FF	7	26	4_pre_FF	pre
04NOV_22_pl1	1	04NOV22_pl1	22	4_pre_FF	7	26	4_pre_FF	pre
04NOV_23_pl1	1	04NOV23_pl1	23	4_pre_FF	7	26	4_pre_FF	pre
15OCT_01_pl1	1	15OCT01_pl1	1	FF	1	6	FF	FR
15OCT_02_pl1	1	15OCT02_pl1	2	FF	1	6	FF	FR
15OCT_03_pl1	1	15OCT03_pl1	3	FF	1	6	FF	FR
15OCT_04_pl1	1	15OCT04_pl1	4	FF	1	6	FF	FR
15OCT_05_pl1	1	15OCT05_pl1	5	FR	2	6	FR	FR
15OCT_06_pl1	1	15OCT06_pl1	6	FR	2	6	FR	FR
15OCT_07_pl1	1	15OCT07_pl1	7	FR	2	6	FR	FR
15OCT_08_pl1	1	15OCT08_pl1	8	FR	2	6	FR	FR
15OCT_09_pl1	1	15OCT09_pl1	9	pre	3	6	pre	FR
15OCT_10_pl1	1	15OCT10_pl1	10	pre	3	6	pre	FR
15OCT_11_pl1	1	15OCT11_pl1	11	pre	3	6	pre	FR
15OCT_12_pl1	1	15OCT12_pl1	12	1_FR_FF	4	6	1_FR_FF	FR
15OCT_13_pl1	1	15OCT13_pl1	13	1_FR_FF	4	6	1_FR_FF	FR
15OCT_14_pl1	1	15OCT14_pl1	14	1_FR_FF	4	6	1_FR_FF	FR
15OCT_15_pl1	1	15OCT15_pl1	15	4_FR_FF	5	6	4_FR_FF	FR
15OCT_16_pl1	1	15OCT16_pl1	16	4_FR_FF	5	6	4_FR_FF	FR
15OCT_17_pl1	1	15OCT17_pl1	17	4_FR_FF	5	6	4_FR_FF	FR
15OCT_18_pl1	1	15OCT18_pl1	18	1_pre_FF	6	6	1_pre_FF	FR
15OCT_19_pl1	1	15OCT19_pl1	19	1_pre_FF	6	6	1_pre_FF	FR
15OCT_20_pl1	1	15OCT20_pl1	20	1_pre_FF	6	6	1_pre_FF	FR
15OCT_21_pl1	1	15OCT21_pl1	21	4_pre_FF	7	6	4_pre_FF	FR
15OCT_22_pl1	1	15OCT22_pl1	22	4_pre_FF	7	6	4_pre_FF	FR
15OCT_23_pl1	1	15OCT23_pl1	23	4_pre_FF	7	6	4_pre_FF	FR
17OCT_01_pl1	1	17OCT01_pl1	1	FF	1	8	FF	FR
17OCT_02_pl1	1	17OCT02_pl1	2	FF	1	8	FF	FR
17OCT_03_pl1	1	17OCT03_pl1	3	FF	1	8	FF	FR
17OCT_04_pl1	1	17OCT04_pl1	4	FF	1	8	FF	FR
17OCT_05_pl1	1	17OCT05_pl1	5	FR	2	8	FR	FR
17OCT_06_pl1	1	17OCT06_pl1	6	FR	2	8	FR	FR
17OCT_07_pl1	1	17OCT07_pl1	7	FR	2	8	FR	FR
17OCT_08_pl1	1	17OCT08_pl1	8	FR	2	8	FR	FR
17OCT_09_pl1	1	17OCT09_pl1	9	pre	3	8	pre	FR
17OCT_10_pl1	1	17OCT10_pl1	10	pre	3	8	pre	FR
17OCT_11_pl1	1	17OCT11_pl1	11	pre	3	8	pre	FR
17OCT_12_pl1	1	17OCT12_pl1	12	1_FR_FF	4	8	1_FR_FF	FR
17OCT_13_pl1	1	17OCT13_pl1	13	1_FR_FF	4	8	1_FR_FF	FR
17OCT_14_pl1	1	17OCT14_pl1	14	1_FR_FF	4	8	1_FR_FF	FR
17OCT_15_pl1	1	17OCT15_pl1	15	4_FR_FF	5	8	4_FR_FF	FR
17OCT_16_pl1	1	17OCT16_pl1	16	4_FR_FF	5	8	4_FR_FF	FR
17OCT_17_pl1	1	17OCT17_pl1	17	4_FR_FF	5	8	4_FR_FF	FR
17OCT_18_pl1	1	17OCT18_pl1	18	1_pre_FF	6	8	1_pre_FF	FR
17OCT_19_pl1	1	17OCT19_pl1	19	1_pre_FF	6	8	1_pre_FF	FR
17OCT_20_pl1	1	17OCT20_pl1	20	1_pre_FF	6	8	1_pre_FF	FR
17OCT_21_pl1	1	17OCT21_pl1	21	4_pre_FF	7	8	4_pre_FF	FR
17OCT_22_pl1	1	17OCT22_pl1	22	4_pre_FF	7	8	4_pre_FF	FR
17OCT_23_pl1	1	17OCT23_pl1	23	4_pre_FF	7	8	4_pre_FF	FR
20NOV_01_pl2	2	20NOV_01	1	FF	1	42	FF	FF
20NOV_02_pl2	2	20NOV_02	2	FF	1	42	FF	FF
20NOV_03_pl2	2	20NOV_03	3	FF	1	42	FF	FF
20NOV_04_pl2	2	20NOV_04	4	FF	1	42	FF	FF
20NOV_05_pl2	2	20NOV_05	5	FR	2	42	FR	FR
20NOV_06_pl2	2	20NOV_06	6	FR	2	42	FR	FR
20NOV_07_pl2	2	20NOV_07	7	FR	2	42	FR	FR
20NOV_08_pl2	2	20NOV_08	8	FR	2	42	FR	FR
20NOV_09_pl2	2	20NOV_09	9	pre	3	42	pre	pre
20NOV_10_pl2	2	20NOV_10	10	pre	3	42	pre	pre
20NOV_11_pl2	2	20NOV_11	11	pre	3	42	pre	pre
20NOV_12_pl2	2	20NOV_12	12	1_FR_FF	4	42	1_FR_FF	FF
20NOV_13_pl2	2	20NOV_13	13	1_FR_FF	4	42	1_FR_FF	FF
20NOV_14_pl2	2	20NOV_14	14	1_FR_FF	4	42	1_FR_FF	FF
20NOV_15_pl2	2	20NOV_15	15	4_FR_FF	5	42	4_FR_FF	FR
20NOV_16_pl2	2	20NOV_16	16	4_FR_FF	5	42	4_FR_FF	FR
20NOV_17_pl2	2	20NOV_17	17	4_FR_FF	5	42	4_FR_FF	FR
20NOV_18_pl2	2	20NOV_18	18	1_pre_FF	6	42	1_pre_FF	FF
20NOV_19_pl2	2	20NOV_19	19	1_pre_FF	6	42	1_pre_FF	FF
20NOV_20_pl2	2	20NOV_20	20	1_pre_FF	6	42	1_pre_FF	FF
20NOV_21_pl2	2	20NOV_21	21	4_pre_FF	7	42	4_pre_FF	pre
20NOV_22_pl2	2	20NOV_22	22	4_pre_FF	7	42	4_pre_FF	pre
20NOV_23_pl2	2	20NOV_23	23	4_pre_FF	7	42	4_pre_FF	pre
21NOV_01_pl2	2	21NOV_01	1	FF	1	43	FF	FF
21NOV_02_pl2	2	21NOV_02	2	FF	1	43	FF	FF
21NOV_03_pl2	2	21NOV_03	3	FF	1	43	FF	FF
21NOV_04_pl2	2	21NOV_04	4	FF	1	43	FF	FF
21NOV_05_pl2	2	21NOV_05	5	FR	2	43	FR	FR
21NOV_06_pl2	2	21NOV_06	6	FR	2	43	FR	FR
21NOV_07_pl2	2	21NOV_07	7	FR	2	43	FR	FR
21NOV_08_pl2	2	21NOV_08	8	FR	2	43	FR	FR
21NOV_09_pl2	2	21NOV_09	9	pre	3	43	pre	pre
21NOV_10_pl2	2	21NOV_10	10	pre	3	43	pre	pre
21NOV_11_pl2	2	21NOV_11	11	pre	3	43	pre	pre
21NOV_12_pl2	2	21NOV_12	12	1_FR_FF	4	43	1_FR_FF	FR
21NOV_13_pl2	2	21NOV_13	13	1_FR_FF	4	43	1_FR_FF	FR
21NOV_14_pl2	2	21NOV_14	14	1_FR_FF	4	43	1_FR_FF	FR
21NOV_15_pl2	2	21NOV_15	15	4_FR_FF	5	43	4_FR_FF	FF
21NOV_16_pl2	2	21NOV_16	16	4_FR_FF	5	43	4_FR_FF	FF
21NOV_17_pl2	2	21NOV_17	17	4_FR_FF	5	43	4_FR_FF	FF
21NOV_18_pl2	2	21NOV_18	18	1_pre_FF	6	43	1_pre_FF	pre
21NOV_19_pl2	2	21NOV_19	19	1_pre_FF	6	43	1_pre_FF	pre
21NOV_20_pl2	2	21NOV_20	20	1_pre_FF	6	43	1_pre_FF	pre
21NOV_21_pl2	2	21NOV_21	21	4_pre_FF	7	43	4_pre_FF	FF
21NOV_22_pl2	2	21NOV_22	22	4_pre_FF	7	43	4_pre_FF	FF
21NOV_23_pl2	2	21NOV_23	23	4_pre_FF	7	43	4_pre_FF	FF
22NOV_01_pl2	2	22NOV_01	1	FF	1	44	FF	FF
22NOV_02_pl2	2	22NOV_02	2	FF	1	44	FF	FF
22NOV_03_pl2	2	22NOV_03	3	FF	1	44	FF	FF
22NOV_04_pl2	2	22NOV_04	4	FF	1	44	FF	FF
22NOV_05_pl2	2	22NOV_05	5	FR	2	44	FR	FR
22NOV_06_pl2	2	22NOV_06	6	FR	2	44	FR	FR
22NOV_07_pl2	2	22NOV_07	7	FR	2	44	FR	FR
22NOV_08_pl2	2	22NOV_08	8	FR	2	44	FR	FR
22NOV_09_pl2	2	22NOV_09	9	pre	3	44	pre	pre
22NOV_10_pl2	2	22NOV_10	10	pre	3	44	pre	pre
22NOV_11_pl2	2	22NOV_11	11	pre	3	44	pre	pre
22NOV_12_pl2	2	22NOV_12	12	1_FR_FF	4	44	1_FR_FF	FF
22NOV_13_pl2	2	22NOV_13	13	1_FR_FF	4	44	1_FR_FF	FF
22NOV_14_pl2	2	22NOV_14	14	1_FR_FF	4	44	1_FR_FF	FF
22NOV_15_pl2	2	22NOV_15	15	4_FR_FF	5	44	4_FR_FF	FF
22NOV_16_pl2	2	22NOV_16	16	4_FR_FF	5	44	4_FR_FF	FF
22NOV_17_pl2	2	22NOV_17	17	4_FR_FF	5	44	4_FR_FF	FF
22NOV_18_pl2	2	22NOV_18	18	1_pre_FF	6	44	1_pre_FF	FF
22NOV_19_pl2	2	22NOV_19	19	1_pre_FF	6	44	1_pre_FF	FF
22NOV_20_pl2	2	22NOV_20	20	1_pre_FF	6	44	1_pre_FF	FF
22NOV_21_pl2	2	22NOV_21	21	4_pre_FF	7	44	4_pre_FF	FF
22NOV_22_pl2	2	22NOV_22	22	4_pre_FF	7	44	4_pre_FF	FF
22NOV_23_pl2	2	22NOV_23	23	4_pre_FF	7	44	4_pre_FF	FF
22OCT_01_pl1	1	22OCT01_pl1	1	FF	1	13	FF	FR
22OCT_02_pl1	1	22OCT02_pl1	2	FF	1	13	FF	FR
22OCT_03_pl1	1	22OCT03_pl1	3	FF	1	13	FF	FR
