	sampleID	mouse	day_of_diet	day	experiment	cage	sex	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	cagegroup
134	15OCT_07_pl1	7	FR	6	exp1	c4	female	19.0483547041557	22.4676862866265	3.26999330552552	5.22169009732736	1.65302023791132	15.067717184201	0.844533704104228	8.70796642463567	1.85385447242391	0	3.06915907101293	1.48308357793913	0.767289767753231	16.5456511663834	FR_c4
135	15OCT_08_pl1	8	FR	6	exp1	c4	female	14.5114769859392	24.9729599807715	4.96935464487441	4.05600288426872	1.15370748708088	16.9390698233385	0.642951568321115	10.3953851700517	0	0	3.11260665785362	1.53827664944117	1.01550294435765	16.6927052037015	FR_c4
136	16_May_01	1	FF	6	exp2	c5	male	13.6068430223349	20.1488990971012	4.88938169913934	4.8682612598342	1.20914515021912	11.7588045831353	0.512170653149586	5.77116004012883	1.91139975711495	0	11.0776704155446	1.3200274565711	3.76999841596705	19.1562384497598	FF_c5
137	16_May_02	2	FF	6	exp2	c5	male	11.6536296148672	24.2588809725475	6.55174131831996	5.525384883663	1.1359673160281	0.298938767375816	1.15589656718649	7.34392905186588	2.47620945642967	0	11.1105575208012	1.49967614966868	4.5438692641124	22.4453191171342	FF_c5
138	16_May_03	3	FF	6	exp2	c5	male	19.511439343077	21.954242627692	3.95083406496927	5.38656199969013	0.996746371946496	0.19625058100501	0.459639518669628	5.97531374270516	1.66296544956877	3.11935134018489	7.7260755048288	1.49770180240665	4.22455198058152	23.3383256726747	FF_c5
139	16_May_04	4	FF	6	exp2	c6	male	16.4265252896661	18.3590576766856	4.03608533926205	4.72871862841507	1.094531617427	17.9699858908034	1.08170507503527	3.95912608491171	1.51780751635384	0	8.27739535679165	2.06079781093677	2.51400230877763	17.9742614049339	FF_c6
140	16_May_05	5	FF	6	exp2	c6	male	12.6056763285024	16.4817330917874	4.00437801932367	5.02339975845411	1.56627415458937	17.025211352657	0.607638888888889	1.89085144927536	3.01554951690821	0.00377415458937198	12.5226449275362	1.05298913043478	2.62303743961353	21.5768417874396	FF_c6
141	16_May_06	6	FF	6	exp2	c6	male	19.1799390037276	24.2629617078956	4.76448661470688	6.18095560826838	2.67705862419519	0.372754998305659	1.00982717722806	0.969162995594714	2.29074889867841	1.81633344628939	11.8671636733311	2.15520162656727	1.55879362927821	20.8946119959336	FF_c6
142	16_May_07	7	FF	6	exp2	c6	male	14.9082080333944	19.0356519146399	3.71427354431997	5.12416407547813	1.02653661029944	12.90624866891	0.468543681049538	2.59828768582016	1.87417472419815	2.20641478894237	12.5186352600417	1.4141500191677	3.16479959108915	19.0399114026494	FF_c6
143	16_May_08	8	FR	6	exp2	c7	male	16.429358607009	17.9545955477188	4.57130262287855	4.20101388582764	0.850782455366983	14.1679523914481	0.423187128058188	4.50077143486886	3.11659687017853	1.95283226801851	8.47255895966498	1.74564690324003	4.00705311880097	17.6063478069209	FR_c7
144	16_May_09	9	FR	6	exp2	c8	male	26.1915909729375	16.1110590879296	4.81786684146456	5.76833036801199	0.692948777975466	0.24815057589662	0.182601367169211	3.13231575990261	4.55567000655492	3.5537035302931	7.54752317632737	1.52167805974342	2.65942503979773	23.0171364359959	FR_c8
145	16_May_10	10	FR	6	exp2	c9	male	13.1985661397426	16.3601104777575	4.56602221308104	4.00188047246871	2.18017276840806	11.8587295057883	0.722806605159546	9.50813891990363	1.48087206910736	0.0176294293941353	10.2015631427396	1.66304283951343	2.13316095669037	22.1073044602456	FR_c9
146	16_May_11	11	FR	6	exp2	c10	male	13.5621383143299	14.6851544147138	3.68991004411849	5.63226952386409	1.63295708474188	17.3781011860425	0.595886094081247	2.5668939437346	3.81023319773105	2.27468057067553	11.9005328596803	1.52982295307397	3.61542428235833	17.1259955308543	FR_c10
147	16_May_12	12	FR	6	exp2	c10	male	25.3774196536075	19.2553487079744	5.03843660276003	6.87227933685283	0.991016022969343	0.268593127720663	0.231545799759192	2.75076410113921	5.390386218394	3.56580531629156	8.76169306288784	2.28767250162082	2.13022135778457	17.078818190238	FR_c10
148	16_May_13	13	FR	6	exp2	c10	male	22.4205407969639	14.8837760910816	2.41342504743833	5.65702087286528	0.462523719165085	13.508064516129	1.50023719165085	3.06570208728653	2.94710626185958	2.16437381404175	11.4326375711575	1.91532258064516	2.1584440227704	15.470825426945	FR_c10
149	16_May_14	14	FR	6	exp2	c11	male	21.8077675328304	18.2313495389774	4.43559653534507	8.38222967309304	1.91394244202291	0.621682034087734	0.530874545962559	1.96982397317687	0.922045264040235	0.0069851913942442	18.7203129365745	3.67421067337245	1.93489801620564	16.848281642917	FR_c11
150	17OCT_01_pl1	1	FR	8	exp1	c1	male	15.2148725510849	20.5129555508742	3.83926690541395	3.72340425531915	0.984832525805772	16.1944385927954	1.13756056456709	9.71666315567727	0	0	8.32104487044449	2.29618706551506	0.784706130187487	17.2740678323151	FR_c1
151	17OCT_02_pl1	2	FR	8	exp1	c1	male	16.0718517465283	18.1430399545002	3.71107635432959	4.88648751125646	1.2370254514432	6.84866581354567	1.41712877387554	9.71136072799659	3.05227735911655	2.46931134176975	9.8061519503294	2.10910469690507	0.981089151144604	19.5554291672591	FR_c1
152	17OCT_03_pl1	3	FR	8	exp1	c2	female	15.2794861281946	21.6482164821648	4.07954079540795	4.68088014213475	0.785841191745251	9.84009840098401	1.8176848435151	10.0109334426678	1.97485308186415	0	5.63072297389641	2.52152521525215	1.53751537515375	20.1927019270193	FR_c2
153	17OCT_04_pl1	4	FR	8	exp1	c2	female	16.0090773118779	19.0468822528238	3.51230078910723	3.71860333178606	1.79998968487287	13.0125328794677	1.27391820104183	8.69049461034607	0.237247924080664	0	10.9907679612151	1.68136572283253	1.19655474753726	18.830264583011	FR_c2
154	17OCT_05_pl1	5	FR	8	exp1	c3	male	15.8608557484962	18.601747815231	3.19487004880263	3.51265463625014	0.987402110997617	12.9780955623652	1.29951197366928	9.64135739416638	3.77936670071502	0	8.20565202587674	1.86130972647827	0.771762569515378	19.3054136874362	FR_c3
155	17OCT_06_pl1	6	FR	8	exp1	c3	male	16.7624161073825	19.0013422818792	3.59731543624161	3.98389261744966	1.75570469798658	16.0214765100671	1.21342281879195	9.50335570469799	0.0322147651006711	0.102013422818792	4.35973154362416	2.50738255033557	1.18657718120805	19.9731543624161	FR_c3
156	17OCT_07_pl1	7	FR	8	exp1	c4	female	15.3277196176604	18.7983614019117	3.11219845243514	3.66408739189804	1.34274010013655	17.6092398725535	1.02981338188439	10.1558944014565	0.00568957669549386	0	10.161583978152	1.75238962221211	0.989986345015931	16.0502958579882	FR_c4
157	17OCT_08_pl1	8	FR	8	exp1	c4	female	13.6933272095007	22.2360737484417	4.10078078866216	3.85801456597336	1.86995603962995	12.1973623777967	1.16134111934912	8.76582901384424	0	0	8.80519650941539	2.06023226822387	1.40410734203792	19.8477790171249	FR_c4
158	18_May_01	1	FF	8	exp2	c5	male	13.9056298691754	18.5506394237836	4.32652261257288	3.34166299181734	1.27394776814151	12.2102993777255	1.04855700916262	6.76172276936646	2.71938850507129	0	8.202263707188	1.70023029055809	2.48909794698417	23.4700377284531	FF_c5
159	18_May_02	2	FF	8	exp2	c5	male	18.8922657073746	21.7205234757799	5.03008125038764	6.55585188860634	1.2590708925138	0.589220368417788	0.762885319109347	4.47807479997519	5.62550393847299	0.0248092786702227	10.8292501395522	3.42368045649073	2.44371394901693	18.3650685356323	FF_c5
160	18_May_03	3	FF	8	exp2	c5	male	12.5372121942948	16.3507555488563	3.88890982401929	3.31612465614048	1.10411877755587	13.961638467046	0.41451558201756	8.6671439876399	2.43056864001206	2.60391151976486	10.1933149941591	1.72589215058221	3.63643215133587	19.1694615065757	FF_c5
161	18_May_04	4	FF	8	exp2	c6	male	12.6171646162859	16.7106033977739	4.07513181019332	3.21836555360281	0.695664909197422	18.2007908611599	0.494288224956063	8.51640304628002	2.08333333333333	1.97715289982425	6.46236086701816	1.8416813122437	3.33186877562976	19.7751903925015	FF_c6
